Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,759408703,9742.828544381651,892997,11.45669864893184,58388,6866434,88.09286607993045,5389,0.06913813710358901,259,
United States of America,Americas,102247392,30890.203,227828,68.83,0,1111342,335.75,2197,0.664,0
China,Western Pacific,99109603,6736.253,79475,5.402,7125,120227,8.172,362,0.025,46
India,South-East Asia,44688367,3238.277,1996,0.145,266,530775,38.462,4,0,0
France,Europe,38538948,59254.809,25712,39.533,953,161397,248.153,144,0.221,26
Germany,Europe,38221663,45957.887,65519,78.78,7030,168583,202.705,84,0.101,10
Brazil,Americas,37076053,17442.677,51636,24.293,0,699276,328.979,329,0.155,0
Japan,Western Pacific,33264491,26300.934,73927,58.451,4263,72805,57.564,485,0.383,34
Republic of Korea,Western Pacific,30581499,59648.889,67778,132.2,12284,34049,66.412,72,0.14,15
Italy,Europe,25603510,42929.026,14017,23.502,0,188322,315.757,104,0.174,0
The United Kingdom,Europe,24396534,35937.502,9023,13.291,0,207695,305.947,25,0.037,0
Russian Federation,Europe,22363740,15324.509,91270,62.542,10449,396378,271.614,278,0.19,42
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13770429,29092.898,7093,14.985,0,119479,252.424,235,0.496,0
Viet Nam,Western Pacific,11526966,11842.135,61,0.063,0,43186,44.367,0,0,0
Australia,Western Pacific,11380700,44630.399,0,0,0,19447,76.263,0,0,0
Argentina,Americas,10044957,22225.434,832,1.841,0,130472,288.682,9,0.02,0
Netherlands,Europe,8598182,49393.308,2924,16.797,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7570743,9013.546,2919,3.475,511,144902,172.517,57,0.068,9
Mexico,Americas,7470653,5794.224,14133,10.962,0,333100,258.352,42,0.033,0
Indonesia,South-East Asia,6737606,2463.263,1560,0.57,303,160934,58.837,20,0.007,2
Poland,Europe,6437598,16959.731,18113,47.718,4833,118970,313.424,86,0.227,18
Colombia,Americas,6360089,12499.465,625,1.228,0,142629,280.308,14,0.028,0
Austria,Europe,5943417,66771.984,37878,425.545,2378,21923,246.296,23,0.258,0
Greece,Europe,5896788,55014.715,0,0,0,36283,338.506,0,0,0
Portugal,Europe,5570473,54103.751,1613,15.666,123,26266,255.111,48,0.466,10
Ukraine,Europe,5399231,12345.682,0,0,0,111298,254.49,0,0,0
Chile,Americas,5182360,27109.78,17438,91.221,2031,64247,336.087,73,0.382,17
Malaysia,Western Pacific,5043978,15584.188,1393,4.304,188,36966,114.212,9,0.028,0
Israel,Europe,4801511,55473.263,2549,29.449,0,12307,142.186,14,0.162,0
Thailand,South-East Asia,4728182,6773.902,147,0.211,0,33918,48.593,7,0.01,0
Belgium,Europe,4727795,41031.197,3917,33.995,0,33775,293.124,15,0.13,0
Czechia,Europe,4615945,43164.123,6108,57.116,1795,42484,397.272,37,0.346,3
Canada,Americas,4600615,12189.593,9206,24.392,0,51447,136.312,141,0.374,0
Peru,Americas,4486832,13608.067,1148,3.482,0,219493,665.698,64,0.194,0
Switzerland,Europe,4391007,50736,0,0,0,13949,161.174,0,0,0
Philippines,Western Pacific,4077109,3720.632,879,0.802,117,66160,60.375,52,0.047,7
South Africa,Africa,4061578,6848.2,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3403958,58459.498,733,12.589,82,8284,142.269,29,0.498,3
Romania,Europe,3346046,17311.16,5704,29.51,0,67736,350.44,32,0.166,0
Sweden,Europe,2698535,26129.38,375,3.631,0,23731,229.783,0,0,0
Serbia,Europe,2497248,36052.467,5544,80.038,953,17864,257.9,43,0.621,9
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2230570,38127.173,0,0,0,1722,29.434,0,0,0
Hungary,Europe,2195926,22477.303,0,0,0,48651,497.987,0,0,0
New Zealand,Western Pacific,2176499,45134.671,10029,207.974,0,2548,52.839,6,0.124,0
Bangladesh,South-East Asia,2037871,1237.403,42,0.026,0,29445,17.879,0,0,0
Slovakia,Europe,1863590,34144.987,701,12.844,171,21031,385.333,10,0.183,0
Georgia,Europe,1827537,45812.405,0,0,0,16971,425.426,0,0,0
